"","name","date","jira_count","svn_count","email_count","jira_type","jira_priority","votes","watches","cluster"
"175","cm_t6",20,2,5,16,2,3,0,3,9
"176","cm_t6",21,0,56,52,0,0,0,0,9
"177","cm_t6",22,3,65,48,1,1,0,9,9
"178","cm_t6",23,15,125,99,5,5,0,27,9
"179","cm_t6",24,16,227,92,1,4,0,104,9
"180","cm_t6",25,3,46,7,2,4,0,9,9
"181","cm_t6",26,4,127,68,1,4,0,16,9
"182","cm_t6",27,6,54,24,1,4,6,27,9
"183","cm_t6",28,28,29,28,2,4,0,76,9
"184","cm_t6",29,8,27,30,2,5,0,34,9
"185","cm_t6",30,15,15,108,2,4,0,36,9
"186","cm_t6",31,6,8,32,2,4,0,22,9
"187","cm_t7",1,0,17,81,0,0,0,0,9
"188","cm_t7",2,0,4,10,0,0,0,0,9
"189","cm_t7",3,0,13,42,0,0,0,0,9
"190","cm_t7",4,0,11,24,0,0,0,0,9
"191","cm_t7",5,0,109,60,0,0,0,0,9
"192","cm_t7",6,0,23,120,0,0,0,0,9
"193","cm_t7",7,0,9,12,0,0,0,0,9
"194","cm_t7",8,0,20,57,0,0,0,0,9
"195","cm_t7",9,0,12,68,0,0,0,0,9
"196","cm_t7",10,0,48,44,0,0,0,0,9
"197","cm_t7",11,0,144,36,0,0,0,0,9
"198","cm_t7",12,0,30,50,0,0,0,0,9
"199","cm_t7",13,0,0,20,0,0,0,0,9
"200","cm_t7",14,0,22,26,0,0,0,0,9
"201","cm_t7",15,0,0,26,0,0,0,0,9
"202","cm_t7",16,0,65,68,0,0,0,0,9
"203","cm_t7",17,0,15,60,0,0,0,0,9
"204","cm_t7",18,0,115,30,0,0,0,0,9
"205","cm_t7",19,0,39,54,0,0,0,0,9
"206","cm_t7",20,0,25,104,0,0,0,0,9
"207","cm_t7",21,0,27,116,0,0,0,0,9
"208","cm_t7",22,0,0,18,0,0,0,0,9
"209","cm_t7",23,0,12,38,0,0,0,0,9
"210","cm_t7",24,0,37,96,0,0,0,0,9
"211","cm_t7",25,0,16,30,0,0,0,0,9
"212","cm_t7",26,0,4,16,0,0,0,0,9
"213","cm_t7",27,0,52,42,0,0,0,0,9
"214","cm_t7",28,0,9,12,0,0,0,0,9
"215","cm_t7",29,0,0,10,0,0,0,0,9
"216","cm_t7",30,0,7,18,0,0,0,0,9
"217","cm_t7",31,0,12,12,0,0,0,0,9
"218","cm_t8",1,8,38,100,2,4,0,56,9
"219","cm_t8",2,0,138,14,0,0,0,0,9
"220","cm_t8",3,0,9,18,0,0,0,0,9
"221","cm_t8",4,0,42,68,0,0,0,0,9
"222","cm_t8",5,0,11,32,0,0,0,0,9
"223","cm_t8",6,0,49,114,0,0,0,0,9
"224","cm_t8",7,0,134,48,0,0,0,0,9
"225","cm_t8",8,0,20,42,0,0,0,0,9
"226","cm_t8",9,0,30,63,0,0,0,0,9
"227","cm_t8",10,5,72,90,2,4,0,5,9
"228","cm_t8",11,4,17,32,1,4,0,8,9
"229","cm_t8",12,0,127,18,0,0,0,0,9
"230","cm_t8",13,0,111,80,0,0,0,0,9
"231","cm_t8",14,0,75,66,0,0,0,0,9
"232","cm_t8",15,0,83,196,0,0,0,0,2
"233","cm_t8",16,6,52,48,1,4,0,12,9
"234","cm_t8",17,0,8,36,0,0,0,0,9
"235","cm_t8",18,0,38,36,0,0,0,0,9
"236","cm_t8",19,0,35,12,0,0,0,0,9
"237","cm_t8",20,5,87,65,1,4,0,10,9
"238","cm_t8",21,0,5,22,0,0,0,0,9
"239","cm_t8",22,0,7,17,0,0,0,0,9
"240","cm_t8",23,1,10,17,1,4,0,8,9
"241","cm_t8",24,0,27,51,0,0,0,0,9
"242","cm_t8",25,0,69,52,0,0,0,0,9
"243","cm_t8",26,0,60,16,0,0,0,0,9
"244","cm_t8",27,0,38,40,0,0,0,0,9
"245","cm_t8",28,30,136,90,1,4,0,180,9
"246","cm_t8",29,0,22,40,0,0,0,0,9
"247","cm_t8",30,0,7,13,0,0,0,0,9
"248","cm_t8",31,4,8,12,2,4,0,20,9
"249","cm_t9",1,5,77,140,1,4,0,15,9
"250","cm_t9",2,0,71,207,0,0,0,0,2
"251","cm_t9",3,0,40,150,0,0,0,0,9
"252","cm_t9",4,0,41,170,0,0,0,0,9
"253","cm_t9",5,0,29,70,0,0,0,0,9
"254","cm_t9",6,0,13,20,0,0,0,0,9
"255","cm_t9",7,0,83,185,0,0,0,0,9
"256","cm_t9",8,0,14,42,0,0,0,0,9
"257","cm_t9",9,0,124,114,0,0,0,0,9
"258","cm_t9",10,0,23,84,0,0,0,0,9
"259","cm_t9",11,0,14,30,0,0,0,0,9
"260","cm_t9",12,0,50,112,0,0,0,0,9
"261","cm_t9",13,0,35,60,0,0,0,0,9
"262","cm_t9",14,0,29,70,0,0,0,0,9
"263","cm_t9",15,0,39,93,0,0,0,0,9
"264","cm_t9",16,0,34,48,0,0,0,0,9
"265","cm_t9",17,0,55,46,0,0,0,0,9
"266","cm_t9",18,0,24,81,0,0,0,0,9
"267","cm_t9",19,0,41,132,0,0,0,0,9
"268","cm_t9",20,0,52,32,0,0,0,0,9
"269","cm_t9",21,0,13,75,0,0,0,0,9
"270","cm_t9",22,0,35,37,0,0,0,0,9
"271","cm_t9",23,0,0,18,0,0,0,0,9
"272","cm_t9",24,0,53,95,0,0,0,0,9
"273","cm_t9",25,0,33,36,0,0,0,0,9
"274","cm_t9",26,0,68,63,0,0,0,0,9
"275","cm_t9",27,0,78,60,0,0,0,0,9
"276","cm_t9",28,0,36,84,0,0,0,0,9
"277","cm_t9",29,3,109,18,1,4,0,18,9
"278","cm_t9",30,0,39,93,0,0,0,0,9
"279","cm_t9",31,2,151,42,2,4,0,16,9
"280","hb_t1",1,0,9,76,0,0,0,0,9
"281","hb_t1",2,0,19,250,0,0,0,0,2
"282","hb_t1",3,0,24,234,0,0,0,0,2
"283","hb_t1",4,0,63,352,0,0,0,0,2
"284","hb_t1",5,0,45,204,0,0,0,0,2
"285","hb_t1",6,0,31,275,0,0,0,0,2
"286","hb_t1",7,0,44,196,0,0,0,0,9
"287","hb_t1",8,0,10,177,0,0,0,0,9
"288","hb_t1",9,0,62,528,0,0,0,0,2
"289","hb_t1",10,0,37,430,0,0,0,0,2
"290","hb_t1",11,0,147,434,0,0,0,0,2
"291","hb_t1",12,0,43,342,0,0,0,0,2
"292","hb_t1",13,0,62,330,0,0,0,0,2
"293","hb_t1",14,0,48,164,0,0,0,0,9
"294","hb_t1",15,0,64,486,0,0,0,0,2
"295","hb_t1",16,0,105,434,0,0,0,0,2
"296","hb_t1",17,0,40,330,0,0,0,0,2
"297","hb_t1",18,0,27,75,0,0,0,0,9
"298","hb_t1",19,0,19,385,0,0,0,0,2
"299","hb_t1",20,0,115,168,0,0,0,0,9
"300","hb_t1",21,0,192,312,0,0,0,0,2
"301","hb_t1",22,6,36,384,5,2,0,24,2
"302","hb_t1",23,0,60,427,0,0,0,0,2
"303","hb_t1",24,0,33,264,0,0,0,0,2
"304","hb_t1",25,6,21,210,2,1,0,30,2
"305","hb_t1",26,0,28,216,0,0,0,0,2
"306","hb_t1",27,0,28,333,0,0,0,0,2
"307","hb_t1",28,6,71,294,1,4,0,60,2
"308","hb_t1",29,6,12,246,1,1,0,30,2
"309","hb_t1",30,0,59,252,0,0,0,0,2
"310","hb_t1",31,0,168,48,0,0,0,0,9
"311","hb_t2",1,0,13,114,0,0,0,0,9
"312","hb_t2",2,4,15,280,3,4,0,20,2
"313","hb_t2",3,8,8,110,1,4,0,36,9
"314","hb_t2",4,0,11,138,0,0,0,0,9
"315","hb_t2",5,0,11,295,0,0,0,0,2
"316","hb_t2",6,0,2,49,0,0,0,0,9
"317","hb_t2",7,0,3,71,0,0,0,0,9
"318","hb_t2",8,0,10,240,0,0,0,0,2
"319","hb_t2",9,0,16,120,0,0,0,0,9
"320","hb_t2",10,0,64,330,0,0,0,0,2
"321","hb_t2",11,0,13,135,0,0,0,0,9
"322","hb_t2",12,0,37,114,0,0,0,0,9
"323","hb_t2",13,0,52,200,0,0,0,0,2
"324","hb_t2",14,0,18,180,0,0,0,0,9
"325","hb_t2",15,0,31,290,0,0,0,0,2
"326","hb_t2",16,0,11,142,0,0,0,0,9
"327","hb_t2",17,0,20,146,0,0,0,0,9
"328","hb_t2",18,0,51,300,0,0,0,0,2
"329","hb_t2",19,0,9,104,0,0,0,0,9
"330","hb_t2",20,0,36,270,0,0,0,0,2
"331","hb_t2",21,0,9,102,0,0,0,0,9
"332","hb_t2",22,0,35,300,0,0,0,0,2
"333","hb_t2",23,0,16,114,0,0,0,0,9
"334","hb_t2",24,6,27,234,2,4,0,18,2
"335","hb_t2",25,12,14,220,2,4,0,68,2
"336","hb_t2",26,6,12,186,1,4,0,30,9
"337","hb_t2",27,0,5,67,0,0,0,0,9
"338","hb_t2",28,1,2,61,1,4,0,3,9
"339","hb_t2",29,12,13,168,2,4,0,48,9
"340","hb_t2",30,3,15,141,1,4,0,9,9
"341","hb_t2",31,0,5,28,0,0,0,0,9
"342","hb_t3",1,0,162,1400,0,0,0,0,8
"343","hb_t3",2,0,158,1365,0,0,0,0,8
"344","hb_t3",3,16,89,864,1,5,0,80,1
"345","hb_t3",4,0,175,1428,0,0,0,0,8
"346","hb_t3",5,0,119,1679,0,0,0,0,8
"347","hb_t3",6,0,117,1584,0,0,0,0,8
"348","hb_t3",7,0,447,1360,0,0,0,0,8
"349","hb_t3",8,0,126,1900,0,0,0,0,8
"350","hb_t3",9,0,184,2744,0,0,0,0,4
"351","hb_t3",10,0,107,1475,0,0,0,0,8
"352","hb_t3",11,0,115,1680,0,0,0,0,8
"353","hb_t3",12,0,185,1806,0,0,0,0,8
"354","hb_t3",13,0,157,1239,0,0,0,0,1
"355","hb_t3",14,0,128,1265,0,0,0,0,1
"356","hb_t3",15,0,273,1596,0,0,0,0,8
"357","hb_t3",16,0,127,1160,0,0,0,0,1
"358","hb_t3",17,0,205,1403,0,0,0,0,8
"359","hb_t3",18,0,232,1872,0,0,0,0,8
"360","hb_t3",19,0,174,2132,0,0,0,0,8
"361","hb_t3",20,10,85,840,0,4,0,40,1
"362","hb_t3",21,36,284,810,3,5,0,306,1
"363","hb_t3",22,0,313,1320,0,0,0,0,8
"364","hb_t3",23,26,151,1378,1,4,0,130,8
"365","hb_t3",24,0,158,1464,0,0,0,0,8
"366","hb_t3",25,0,151,1425,0,0,0,0,8
"367","hb_t3",26,0,906,1500,0,0,0,0,8
"368","hb_t3",27,0,146,1656,0,0,0,0,8
"369","hb_t3",28,0,99,1628,0,0,0,0,8
"370","hb_t3",29,0,175,780,0,0,0,0,1
"371","hb_t3",30,34,140,714,2,4,0,170,1
"372","hb_t3",31,0,132,308,0,0,0,0,2
"373","hb_t4",1,7,23696,84,1,5,0,21,6
"374","hb_t4",2,8,90,176,1,5,0,40,9
"375","hb_t4",3,5,76,110,1,4,0,15,9
"376","hb_t4",4,0,72,330,0,0,0,0,2
"377","hb_t4",5,0,43,287,0,0,0,0,2
"378","hb_t4",6,0,55,308,0,0,0,0,2
"379","hb_t4",7,0,41,308,0,0,0,0,2
"380","hb_t4",8,0,46,144,0,0,0,0,9
"381","hb_t4",9,0,72,336,0,0,0,0,2
"382","hb_t4",10,0,56,270,0,0,0,0,2
"383","hb_t4",11,0,102,288,0,0,0,0,2
"384","hb_t4",12,0,39,85,0,0,0,0,9
"385","hb_t4",13,0,77,216,0,0,0,0,2
"386","hb_t4",14,0,70,324,0,0,0,0,2
"387","hb_t4",15,0,55,253,0,0,0,0,2
"388","hb_t4",16,10,57,220,0,4,0,10,2
"389","hb_t4",17,0,70,126,0,0,0,0,9
"390","hb_t4",18,0,55,336,0,0,0,0,2
"391","hb_t4",19,0,62,286,0,0,0,0,2
"392","hb_t4",20,16,126,464,1,5,0,144,2
"393","hb_t4",21,12,204,276,2,1,0,96,2
"394","hb_t4",22,33,50,165,5,4,0,110,9
"395","hb_t4",23,0,36,272,0,0,0,0,2
"396","hb_t4",24,10,34,160,2,1,0,30,9
"397","hb_t4",25,14,105,406,1,2,0,98,2
"398","hb_t4",26,0,26,152,0,0,0,0,9
"399","hb_t4",27,8,90,112,4,4,0,32,9
"400","hb_t4",28,5,20,80,2,1,0,10,9
"401","hb_t4",29,0,48,180,0,0,0,0,9
"402","hb_t4",30,16,34,120,1,4,0,88,9
"403","hb_t4",31,8,35,104,1,2,0,40,9
"404","hb_t5",1,0,79,94,0,0,0,0,9
"405","hb_t5",2,0,10,156,0,0,0,0,9
"406","hb_t5",3,2,4,140,1,4,0,14,9
"407","hb_t5",4,0,9,86,0,0,0,0,9
"408","hb_t5",5,0,4,42,0,0,0,0,9
"409","hb_t5",6,0,8,74,0,0,0,0,9
"410","hb_t5",7,0,5,114,0,0,0,0,9
"411","hb_t5",8,0,0,50,0,0,0,0,9
"412","hb_t5",9,0,0,68,0,0,0,0,9
"413","hb_t5",10,0,4,122,0,0,0,0,9
"414","hb_t5",11,0,18,174,0,0,0,0,9
"415","hb_t5",12,0,8,58,0,0,0,0,9
"416","hb_t5",13,0,13,340,0,0,0,0,2
"417","hb_t5",14,0,2,116,0,0,0,0,9
"418","hb_t5",15,0,13,459,0,0,0,0,2
"419","hb_t5",16,0,6,176,0,0,0,0,9
"420","hb_t5",17,0,23,228,0,0,0,0,2
"421","hb_t5",18,0,52,595,0,0,0,0,2
"422","hb_t5",19,0,32,385,0,0,0,0,2
"423","hb_t5",20,0,3,73,0,0,0,0,9
"424","hb_t5",21,0,24,380,0,0,0,0,2
"425","hb_t5",22,0,4,71,0,0,0,0,9
"426","hb_t5",23,0,0,106,0,0,0,0,9
"427","hb_t5",24,3,9,243,2,4,0,12,2
"428","hb_t5",25,0,6,108,0,0,0,0,9
"429","hb_t5",26,0,0,72,0,0,0,0,9
"430","hb_t5",27,0,5,90,0,0,0,0,9
"431","hb_t5",28,1,31,45,2,3,0,4,9
"432","hb_t5",29,0,0,65,0,0,0,0,9
"433","hb_t5",30,0,37,140,0,0,0,0,9
"434","hb_t5",31,0,3,25,0,0,0,0,9
"435","hb_t6",1,0,21,30,0,0,0,0,9
"436","hb_t6",2,0,19,80,0,0,0,0,9
"437","hb_t6",3,22,118,253,1,4,0,121,2
"438","hb_t6",4,0,36,126,0,0,0,0,9
"439","hb_t6",5,0,32,161,0,0,0,0,9
"440","hb_t6",6,0,29,119,0,0,0,0,9
"441","hb_t6",7,0,36,168,0,0,0,0,9
"442","hb_t6",8,0,29,68,0,0,0,0,9
"443","hb_t6",9,0,95,144,0,0,0,0,9
"444","hb_t6",10,0,46,180,0,0,0,0,9
"445","hb_t6",11,0,104,84,0,0,0,0,9
"446","hb_t6",12,0,39,77,0,0,0,0,9
"447","hb_t6",13,0,48,117,0,0,0,0,9
"448","hb_t6",14,0,57,153,0,0,0,0,9
"449","hb_t6",15,0,39,126,0,0,0,0,9
"450","hb_t6",16,30,120,130,5,4,0,110,9
"451","hb_t6",17,0,89,117,0,0,0,0,9
"452","hb_t6",18,8,26,32,5,4,0,24,9
"453","hb_t6",19,0,142,88,0,0,0,0,9
"454","hb_t6",20,30,43,50,2,5,0,60,9
"455","hb_t6",21,21,98,14,4,4,7,105,9
"456","hb_t6",22,8,98,160,4,4,0,48,9
"457","hb_t6",23,0,230,90,0,0,0,0,9
"458","hb_t6",24,10,24,70,3,4,0,25,9
"459","hb_t6",25,21,47,105,2,5,0,112,9
"460","hb_t6",26,6,323,120,1,4,0,24,9
"461","hb_t6",27,5,32,75,0,3,0,5,9
"462","hb_t6",28,5,53,65,1,4,0,45,9
"463","hb_t6",29,5,13,90,1,3,0,25,9
"464","hb_t6",30,0,100,120,0,0,0,0,9
"465","hb_t6",31,12,45,18,4,4,0,30,9
"466","hb_t7",1,0,38,168,0,0,0,0,9
"467","hb_t7",2,0,74,105,0,0,0,0,9
"468","hb_t7",3,6,33,510,0,4,0,30,2
"469","hb_t7",4,0,26,120,0,0,0,0,9
"470","hb_t7",5,0,15,336,0,0,0,0,2
"471","hb_t7",6,0,11,212,0,0,0,0,2
"472","hb_t7",7,0,11,132,0,0,0,0,9
"473","hb_t7",8,0,22,448,0,0,0,0,2
"474","hb_t7",9,0,32,510,0,0,0,0,2
"475","hb_t7",10,0,9,256,0,0,0,0,2
"476","hb_t7",11,0,20,236,0,0,0,0,2
"477","hb_t7",12,0,33,160,0,0,0,0,9
"478","hb_t7",13,0,13,147,0,0,0,0,9
"479","hb_t7",14,0,63,364,0,0,0,0,2
"480","hb_t7",15,0,27,288,0,0,0,0,2
"481","hb_t7",16,6,27,342,0,4,0,6,2
"482","hb_t7",17,4,13,296,2,4,0,16,2
"483","hb_t7",18,0,34,205,0,0,0,0,2
"484","hb_t7",19,0,37,584,0,0,0,0,2
"485","hb_t7",20,0,35,355,0,0,0,0,2
"486","hb_t7",21,0,23,136,0,0,0,0,9
"487","hb_t7",22,0,17,252,0,0,0,0,2
"488","hb_t7",23,0,37,264,0,0,0,0,2
"489","hb_t7",24,0,47,145,0,0,0,0,9
"490","hb_t7",25,0,47,432,0,0,0,0,2
"491","hb_t7",26,0,285,423,0,0,0,0,2
"492","hb_t7",27,0,39,288,0,0,0,0,2
"493","hb_t7",28,4,31,200,1,4,0,24,9
"494","hb_t7",29,0,13,198,0,0,0,0,9
"495","hb_t7",30,0,308,315,0,0,0,0,2
"496","hb_t7",31,4,30,88,1,4,0,20,9
"497","hb_t8",1,15,755,840,3,4,0,60,1
"498","hb_t8",2,0,122,948,0,0,0,0,1
"499","hb_t8",3,0,398,1183,0,0,0,0,1
"500","hb_t8",4,0,171,1064,0,0,0,0,1
"501","hb_t8",5,0,1019,1456,0,0,0,0,8
"502","hb_t8",6,0,283,1106,0,0,0,0,1
"503","hb_t8",7,0,274,1053,0,0,0,0,1
"504","hb_t8",8,0,485,1036,0,0,0,0,1
"505","hb_t8",9,0,220,1455,0,0,0,0,8
"506","hb_t8",10,0,301,850,0,0,0,0,1
"507","hb_t8",11,0,435,1320,0,0,0,0,8
"508","hb_t8",12,0,222,1224,0,0,0,0,1
"509","hb_t8",13,0,228,1176,0,0,0,0,1
"510","hb_t8",14,0,255,759,0,0,0,0,1
"511","hb_t8",15,0,280,1032,0,0,0,0,1
"512","hb_t8",16,0,109,1212,0,0,0,0,1
