"","name","date","project","email_count","svn_count","watches","votes","jira_count","jira_type","jira_priority"
"2094","hb_t4",16,"team5",22,2,1,0,1,0,4
"2095","hb_t4",16,"team5",22,4,1,0,1,0,4
"2096","hb_t4",16,"team5",22,23,1,0,1,0,4
"2097","hb_t4",16,"team5",22,2,1,0,1,0,4
"2098","hb_t4",16,"team5",22,3,1,0,1,0,4
"2099","hb_t4",16,"team5",22,6,1,0,1,0,4
"2100","hb_t4",16,"team5",22,4,1,0,1,0,4
"2101","hb_t4",16,"team5",22,6,1,0,1,0,4
"2102","hb_t4",16,"team5",22,3,1,0,1,0,4
"2137","hb_t4",20,"team5",29,4,9,0,1,1,5
"2138","hb_t4",20,"team5",29,41,9,0,1,1,5
"2139","hb_t4",20,"team5",29,27,9,0,1,1,5
"2140","hb_t4",20,"team5",29,6,9,0,1,1,5
"2141","hb_t4",20,"team5",29,8,9,0,1,1,5
"2142","hb_t4",20,"team5",29,3,9,0,1,1,5
"2143","hb_t4",20,"team5",29,3,9,0,1,1,5
"2144","hb_t4",20,"team5",29,5,9,0,1,1,5
"2145","hb_t4",20,"team5",29,7,9,0,1,1,5
"2146","hb_t4",20,"team5",29,5,9,0,1,1,5
"2147","hb_t4",20,"team5",29,2,9,0,1,1,5
"2148","hb_t4",20,"team5",29,2,9,0,1,1,5
"2149","hb_t4",20,"team5",29,3,9,0,1,1,5
"2150","hb_t4",20,"team5",29,3,9,0,1,1,5
"2151","hb_t4",20,"team5",29,4,9,0,1,1,5
"2152","hb_t4",20,"team5",29,3,9,0,1,1,5
"2153","hb_t4",21,"team5",23,3,8,0,1,2,1
"2154","hb_t4",21,"team5",23,3,8,0,1,2,1
"2155","hb_t4",21,"team5",23,3,8,0,1,2,1
"2156","hb_t4",21,"team5",23,3,8,0,1,2,1
"2157","hb_t4",21,"team5",23,11,8,0,1,2,1
"2158","hb_t4",21,"team5",23,3,8,0,1,2,1
"2159","hb_t4",21,"team5",23,2,8,0,1,2,1
"2160","hb_t4",21,"team5",23,5,8,0,1,2,1
"2161","hb_t4",21,"team5",23,20,8,0,1,2,1
"2162","hb_t4",21,"team5",23,3,8,0,1,2,1
"2163","hb_t4",21,"team5",23,12,8,0,1,2,1
"2164","hb_t4",21,"team5",23,136,8,0,1,2,1
"2165","hb_t4",22,"team5",15,7,10,0,3,5,4
"2166","hb_t4",22,"team5",15,5,10,0,3,5,4
"2167","hb_t4",22,"team5",15,2,10,0,3,5,4
"2168","hb_t4",22,"team5",15,5,10,0,3,5,4
"2169","hb_t4",22,"team5",15,2,10,0,3,5,4
"2170","hb_t4",22,"team5",15,4,10,0,3,5,4
"2171","hb_t4",22,"team5",15,16,10,0,3,5,4
"2172","hb_t4",22,"team5",15,2,10,0,3,5,4
"2173","hb_t4",22,"team5",15,3,10,0,3,5,4
"2174","hb_t4",22,"team5",15,2,10,0,3,5,4
"2175","hb_t4",22,"team5",15,2,10,0,3,5,4
"2184","hb_t4",24,"team5",16,2,3,0,1,2,1
"2185","hb_t4",24,"team5",16,2,3,0,1,2,1
"2186","hb_t4",24,"team5",16,2,3,0,1,2,1
"2187","hb_t4",24,"team5",16,10,3,0,1,2,1
"2188","hb_t4",24,"team5",16,4,3,0,1,2,1
"2189","hb_t4",24,"team5",16,2,3,0,1,2,1
"2190","hb_t4",24,"team5",16,2,3,0,1,2,1
"2191","hb_t4",24,"team5",16,3,3,0,1,2,1
"2192","hb_t4",24,"team5",16,5,3,0,1,2,1
"2193","hb_t4",24,"team5",16,2,3,0,1,2,1
"2194","hb_t4",25,"team5",29,2,7,0,1,1,2
"2195","hb_t4",25,"team5",29,2,7,0,1,1,2
"2196","hb_t4",25,"team5",29,6,7,0,1,1,2
"2197","hb_t4",25,"team5",29,2,7,0,1,1,2
"2198","hb_t4",25,"team5",29,6,7,0,1,1,2
"2199","hb_t4",25,"team5",29,9,7,0,1,1,2
"2200","hb_t4",25,"team5",29,11,7,0,1,1,2
"2201","hb_t4",25,"team5",29,18,7,0,1,1,2
"2202","hb_t4",25,"team5",29,15,7,0,1,1,2
"2203","hb_t4",25,"team5",29,4,7,0,1,1,2
"2204","hb_t4",25,"team5",29,18,7,0,1,1,2
"2205","hb_t4",25,"team5",29,4,7,0,1,1,2
"2206","hb_t4",25,"team5",29,2,7,0,1,1,2
"2207","hb_t4",25,"team5",29,6,7,0,1,1,2
"2216","hb_t4",27,"team5",14,15,4,0,1,4,4
"2217","hb_t4",27,"team5",14,2,4,0,1,4,4
"2218","hb_t4",27,"team5",14,7,4,0,1,4,4
"2219","hb_t4",27,"team5",14,42,4,0,1,4,4
"2220","hb_t4",27,"team5",14,11,4,0,1,4,4
"2221","hb_t4",27,"team5",14,5,4,0,1,4,4
"2222","hb_t4",27,"team5",14,6,4,0,1,4,4
"2223","hb_t4",27,"team5",14,2,4,0,1,4,4
"2224","hb_t4",28,"team5",16,3,2,0,1,2,1
"2225","hb_t4",28,"team5",16,7,2,0,1,2,1
"2226","hb_t4",28,"team5",16,4,2,0,1,2,1
"2227","hb_t4",28,"team5",16,4,2,0,1,2,1
"2228","hb_t4",28,"team5",16,2,2,0,1,2,1
"2238","hb_t4",30,"team5",15,10,11,0,2,1,4
"2239","hb_t4",30,"team5",15,2,11,0,2,1,4
"2240","hb_t4",30,"team5",15,2,11,0,2,1,4
"2241","hb_t4",30,"team5",15,4,11,0,2,1,4
"2242","hb_t4",30,"team5",15,2,11,0,2,1,4
"2243","hb_t4",30,"team5",15,2,11,0,2,1,4
"2244","hb_t4",30,"team5",15,2,11,0,2,1,4
"2245","hb_t4",30,"team5",15,10,11,0,2,1,4
"2246","hb_t4",31,"team5",13,14,5,0,1,1,2
"2247","hb_t4",31,"team5",13,4,5,0,1,1,2
"2248","hb_t4",31,"team5",13,2,5,0,1,1,2
"2249","hb_t4",31,"team5",13,2,5,0,1,1,2
"2250","hb_t4",31,"team5",13,3,5,0,1,1,2
"2251","hb_t4",31,"team5",13,3,5,0,1,1,2
"2252","hb_t4",31,"team5",13,2,5,0,1,1,2
"2253","hb_t4",31,"team5",13,5,5,0,1,1,2
"2259","hb_t5",3,"team5",70,2,7,0,1,1,4
"2260","hb_t5",3,"team5",70,2,7,0,1,1,4
"2309","hb_t5",24,"team5",81,2,4,0,1,2,4
"2310","hb_t5",24,"team5",81,5,4,0,1,2,4
"2311","hb_t5",24,"team5",81,2,4,0,1,2,4
"2316","hb_t5",28,"team5",45,31,4,0,1,2,3
"2331","hb_t6",3,"team5",23,2,11,0,2,1,4
"2332","hb_t6",3,"team5",23,21,11,0,2,1,4
"2333","hb_t6",3,"team5",23,2,11,0,2,1,4
"2334","hb_t6",3,"team5",23,4,11,0,2,1,4
"2335","hb_t6",3,"team5",23,2,11,0,2,1,4
"2336","hb_t6",3,"team5",23,4,11,0,2,1,4
"2337","hb_t6",3,"team5",23,5,11,0,2,1,4
"2338","hb_t6",3,"team5",23,65,11,0,2,1,4
"2339","hb_t6",3,"team5",23,7,11,0,2,1,4
"2340","hb_t6",3,"team5",23,2,11,0,2,1,4
"2341","hb_t6",3,"team5",23,4,11,0,2,1,4
"2431","hb_t6",16,"team5",13,8,11,0,3,5,4
"2432","hb_t6",16,"team5",13,10,11,0,3,5,4
"2433","hb_t6",16,"team5",13,40,11,0,3,5,4
"2434","hb_t6",16,"team5",13,4,11,0,3,5,4
"2435","hb_t6",16,"team5",13,34,11,0,3,5,4
"2436","hb_t6",16,"team5",13,9,11,0,3,5,4
"2437","hb_t6",16,"team5",13,4,11,0,3,5,4
"2438","hb_t6",16,"team5",13,5,11,0,3,5,4
"2439","hb_t6",16,"team5",13,4,11,0,3,5,4
"2440","hb_t6",16,"team5",13,2,11,0,3,5,4
"2450","hb_t6",18,"team5",4,2,3,0,1,5,4
"2451","hb_t6",18,"team5",4,2,3,0,1,5,4
"2452","hb_t6",18,"team5",4,4,3,0,1,5,4
"2453","hb_t6",18,"team5",4,4,3,0,1,5,4
"2454","hb_t6",18,"team5",4,3,3,0,1,5,4
"2455","hb_t6",18,"team5",4,4,3,0,1,5,4
"2456","hb_t6",18,"team5",4,3,3,0,1,5,4
"2457","hb_t6",18,"team5",4,4,3,0,1,5,4
