svn;email;issues
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130223	hadoop-hdfs-project	1
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130225	hadoop-hdfs-project	1
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130411	hadoop-hdfs-project	1
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130413	hadoop-hdfs-project	1
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130418	hadoop-hdfs-project	3
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130419	hadoop-common-project	1
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130419	hadoop-hdfs-project	1
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130424	hadoop-hdfs-project	2
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130508	hadoop-hdfs-project	1
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130510	hadoop-common-project	1
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130521	hadoop-common-project	1
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130528	hadoop-common-project	1
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130610	hadoop-common-project	1
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130624	hadoop-common-project	2
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130701	hadoop-hdfs-project	1
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130821	hadoop-common-project	2
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130821	hadoop-hdfs-project	2
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130821	hadoop-mapreduce-project	2
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130821	hadoop-yarn-project	2
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130823	hadoop-common-project	1
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130823	hbase	1
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20131001	hadoop-common-project	1
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20131013	hadoop-common-project	1
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20131013	hadoop-hdfs-project	1
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20131013	hadoop-mapreduce-project	1
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20131013	hadoop-yarn-project	1
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20131024	hadoop-common-project	2
